Concentration relative to reference,Metabolite,Rate,Rate (mmol/min/gBW)
0.04786300923226385,Glucose,Glycolysis,0.027872429221280734
0.05011872336272725,Glucose,Glycolysis,0.029178902240837253
0.05248074602497726,Glucose,Glycolysis,0.030546264972651813
0.054954087385762455,Glucose,Glycolysis,0.03197732179063211
0.057543993733715694,Glucose,Glycolysis,0.03347500302185981
0.06025595860743578,Glucose,Glycolysis,0.035042370295510966
0.06309573444801933,Glucose,Glycolysis,0.036682622089024355
0.06606934480075961,Glucose,Glycolysis,0.038399099475784106
0.06918309709189363,Glucose,Glycolysis,0.04019529207833655
0.07244359600749899,Glucose,Glycolysis,0.04207484423086544
0.07585775750291836,Glucose,Glycolysis,0.04404156135429823
0.07943282347242814,Glucose,Glycolysis,0.04609941654700617
0.08317637711026708,Glucose,Glycolysis,0.04825255739358237
0.08709635899560805,Glucose,Glycolysis,0.050505312993632506
0.09120108393559097,Glucose,Glycolysis,0.05286220121188143
0.09549925860214359,Glucose,Glycolysis,0.05532793615018133
0.1,Glucose,Glycolysis,0.05790743584119326
0.10471285480508996,Glucose,Glycolysis,0.0606058301625943
0.1096478196143185,Glucose,Glycolysis,0.06342846896963271
0.1148153621496883,Glucose,Glycolysis,0.0663809304426957
0.12022644346174131,Glucose,Glycolysis,0.06946902964526666
0.12589254117941676,Glucose,Glycolysis,0.0726988272862142
0.13182567385564073,Glucose,Glycolysis,0.07607663867876419
0.13803842646028852,Glucose,Glycolysis,0.07960904288674825
0.1445439770745927,Glucose,Glycolysis,0.08330289204678025
0.1513561248436208,Glucose,Glycolysis,0.08716532085287983
0.15848931924611134,Glucose,Glycolysis,0.09120375618771685
0.16595869074375605,Glucose,Glycolysis,0.09542592688208855
0.17378008287493754,Glucose,Glycolysis,0.09983987358143778
0.18197008586099836,Glucose,Glycolysis,0.10445395869517025
0.19054607179632474,Glucose,Glycolysis,0.10927687640120848
0.19952623149688797,Glucose,Glycolysis,0.11431766267462402
0.20892961308540398,Glucose,Glycolysis,0.11958570530529408
0.2187761623949553,Glucose,Glycolysis,0.12509075386532714
0.22908676527677735,Glucose,Glycolysis,0.1308429295824773
0.2398832919019491,Glucose,Glycolysis,0.13685273507090784
0.25118864315095807,Glucose,Glycolysis,0.14313106386545935
0.26302679918953814,Glucose,Glycolysis,0.14968920970001848
0.2754228703338166,Glucose,Glycolysis,0.15653887546466005
0.28840315031266056,Glucose,Glycolysis,0.1636921817699471
0.3019951720402016,Glucose,Glycolysis,0.1711616750401158
0.31622776601683794,Glucose,Glycolysis,0.17896033504984865
0.3311311214825911,Glucose,Glycolysis,0.18710158181195705
0.34673685045253166,Glucose,Glycolysis,0.19559928171556448
0.3630780547701014,Glucose,Glycolysis,0.20446775280632423
0.38018939632056126,Glucose,Glycolysis,0.213721769091841
0.3981071705534973,Glucose,Glycolysis,0.22337656374683743
0.41686938347033553,Glucose,Glycolysis,0.23344783108373982
0.4365158322401661,Glucose,Glycolysis,0.24395172714532548
0.4570881896148752,Glucose,Glycolysis,0.2549048687669209
0.47863009232263826,Glucose,Glycolysis,0.26632433094645636
0.5011872336272722,Glucose,Glycolysis,0.2782276423515481
0.5248074602497725,Glucose,Glycolysis,0.2906327787838044
0.5495408738576245,Glucose,Glycolysis,0.3035581544118623
0.5754399373371569,Glucose,Glycolysis,0.31702261057637987
0.6025595860743578,Glucose,Glycolysis,0.33104540196250865
0.6309573444801934,Glucose,Glycolysis,0.3456461799284264
0.6606934480075961,Glucose,Glycolysis,0.3608449727725035
0.6918309709189366,Glucose,Glycolysis,0.37666216271684905
0.7244359600749902,Glucose,Glycolysis,0.3931184593815499
0.758577575029184,Glucose,Glycolysis,0.4102348695221565
0.7943282347242817,Glucose,Glycolysis,0.4280326628031511
0.8317637711026709,Glucose,Glycolysis,0.44653333338256346
0.8709635899560806,Glucose,Glycolysis,0.4657585570878886
0.9120108393559097,Glucose,Glycolysis,0.48573014397134245
0.9549925860214359,Glucose,Glycolysis,0.5064699860436174
1.0,Glucose,Glycolysis,0.5280000000000001
1.0471285480508996,Glucose,Glycolysis,0.5503420647713623
1.096478196143185,Glucose,Glycolysis,0.5735179537554642
1.1481536214968828,Glucose,Glycolysis,0.5975492616115612
1.2022644346174132,Glucose,Glycolysis,0.6224573255337836
1.2589254117941675,Glucose,Glycolysis,0.6482631409564538
