COMPOUND,variable,value,DAY,CAGE,TIME,TRACER,TRACER_UMOL_MIN,COUNTS,MEAN_NON_PERTURBATIVE_DAY1,value_normalized,value_scaled
c18:2 ,DAY2_CAGE1_T120,605159180.6999999,perturbative,1,120,glucose,29.3058,599,1849211895.944167,0.3272524809229712,0.3272524809229712
c18:2 ,DAY2_CAGE2_T120,1051397265.51,perturbative,2,120,lactate,9.396,599,1849211895.944167,0.5685650561820443,0.5685650561820443
c18:2 ,DAY2_CAGE4_T120,569827232.58,perturbative,4,120,glucose,31.2354,599,1849211895.944167,0.30814599118131825,0.30814599118131825
c18:2 ,DAY2_CAGE10_T120,1880606053.14,perturbative,10,120,lactate,9.98325,599,1849211895.944167,1.0169770469596746,1.0169770469596746
c18:2 ,DAY2_CAGE5_T120,1579361044.89,perturbative,5,120,lactate,10.92285,599,1849211895.944167,0.8540725096750543,0.8540725096750543
c18:2 ,DAY2_CAGE6_T120,1133245219.2700002,perturbative,6,120,3-hydroxybutyrate,12.96,599,1849211895.944167,0.6128260486294299,0.6128260486294299
c18:2 ,DAY2_CAGE9_T120,854521827.27,perturbative,9,120,glucose,33.2856,599,1849211895.944167,0.46210054626200636,0.46210054626200636
c18:2 ,DAY2_CAGE11_T120,1763803554.51,perturbative,11,120,3-hydroxybutyrate,11.616,599,1849211895.944167,0.9538136534696262,0.9538136534696262
c18:2 ,DAY2_CAGE12_T120,826310328.39,perturbative,12,120,glucose,27.135,599,1849211895.944167,0.4468445883364297,0.4468445883364297
c18:2 ,DAY2_CAGE13_T120,1940571938.64,perturbative,13,120,lactate,9.82665,599,1849211895.944167,1.0494048534384897,1.0494048534384897
glucose,DAY1_CAGE1_T120,27731252.37,non-perturbative,1,120,glucose,2.0412000000000003,1449,23426067.5425,1.1837775298687863,6.581803066070451
glucose,DAY1_CAGE2_T120,24561146.19,non-perturbative,2,120,lactate,1.5624000000000005,1449,23426067.5425,1.0484536572534302,5.829402334329072
glucose,DAY1_CAGE3_T120,30020299.39,non-perturbative,3,120,3-hydroxybutyrate,0.4016,1449,23426067.5425,1.2814911993033669,7.12509106812672
glucose,DAY1_CAGE4_T120,25350350.41,non-perturbative,4,120,glucose,2.1756,1449,23426067.5425,1.082142803695453,6.0167139885467185
glucose,DAY1_CAGE5_T120,20645727.42,non-perturbative,5,120,lactate,1.8162900000000004,1449,23426067.5425,0.8813142616678683,4.900107294873347
glucose,DAY1_CAGE6_T120,23316904.51,non-perturbative,6,120,3-hydroxybutyrate,0.432,1449,23426067.5425,0.9953401042534368,5.5340909796491085
glucose,DAY1_CAGE9_T120,13621079.549999999,non-perturbative,9,120,glucose,2.3184000000000005,1449,23426067.5425,0.5814496831484152,3.232860238305188
glucose,DAY1_CAGE10_T120,26882556.92,non-perturbative,10,120,lactate,1.6600500000000005,1449,23426067.5425,1.1475488522018975,6.38037161824255
glucose,DAY1_CAGE11_T120,20504503.060000002,non-perturbative,11,120,3-hydroxybutyrate,0.3872,1449,23426067.5425,0.8752857483570539,4.866588760865219
glucose,DAY1_CAGE12_T120,24971640.67,non-perturbative,12,120,glucose,1.89,1449,23426067.5425,1.0659766358436384,5.926830095290629
glucose,DAY2_CAGE3_T120,17624246.1,perturbative,3,120,3-hydroxybutyrate,12.048,599,23426067.5425,0.7523348111255025,4.182981549857794
glucose,DAY1_CAGE13_T120,16753649.979999999,non-perturbative,13,120,lactate,1.6340100000000006,1449,23426067.5425,0.7151712488493948,3.9763521436026346
glucose,DAY1_CAGE14_T120,26753700.040000003,non-perturbative,14,120,3-hydroxybutyrate,0.4048,1449,23426067.5425,1.142048275557259,6.349788412098359
glucose,DAY2_CAGE1_T120,56195160.22,perturbative,1,120,glucose,29.3058,599,23426067.5425,2.39883028246417,13.337496370500785
glucose,DAY2_CAGE2_T120,21330577.650000002,perturbative,2,120,lactate,9.396,599,23426067.5425,0.9105487983120376,5.062651318614929
glucose,DAY2_CAGE4_T120,58101856.910000004,perturbative,4,120,glucose,31.2354,599,23426067.5425,2.4802223764014406,13.79003641279201
glucose,DAY2_CAGE10_T120,20092693.650000002,perturbative,10,120,lactate,9.98325,599,23426067.5425,0.8577066387069647,4.768848911210724
glucose,DAY2_CAGE5_T120,18596458.32,perturbative,5,120,lactate,10.92285,599,23426067.5425,0.7938361095502677,4.413728769099488
glucose,DAY2_CAGE6_T120,11770675.049999999,perturbative,6,120,3-hydroxybutyrate,12.96,599,23426067.5425,0.5024605614512733,2.7936807216690793
glucose,DAY2_CAGE9_T120,31934296.130000003,perturbative,9,120,glucose,33.2856,599,23426067.5425,1.3631949140445454,7.579363722087672
glucose,DAY2_CAGE11_T120,15842876.66,perturbative,11,120,3-hydroxybutyrate,11.616,599,23426067.5425,0.6762926227911519,3.760186982718804
glucose,DAY2_CAGE12_T120,40661591.77,perturbative,12,120,glucose,27.135,599,23426067.5425,1.7357412504779557,9.650721352657433
glucose,DAY2_CAGE13_T120,21588169.19,perturbative,13,120,lactate,9.82665,599,23426067.5425,0.9215447343364118,5.123788722910449
lactate,DAY1_CAGE1_T120,72476918.52,non-perturbative,1,120,glucose,2.0412000000000003,1449,69722753.74,1.0395016638366068,0.7276511646856247
lactate,DAY1_CAGE2_T120,90394777.83,non-perturbative,2,120,lactate,1.5624000000000005,1449,69722753.74,1.2964889219247868,0.9075422453473507
lactate,DAY1_CAGE3_T120,72171231.08999999,non-perturbative,3,120,3-hydroxybutyrate,0.4016,1449,69722753.74,1.0351173357141128,0.7245821349998789
lactate,DAY1_CAGE4_T120,64723191.46,non-perturbative,4,120,glucose,2.1756,1449,69722753.74,0.9282936772887136,0.6498055741020995
lactate,DAY1_CAGE5_T120,72999819.83999999,non-perturbative,5,120,lactate,1.8162900000000004,1449,69722753.74,1.0470013865519476,0.7329009705863633
lactate,DAY1_CAGE6_T120,66678121.550000004,non-perturbative,6,120,3-hydroxybutyrate,0.432,1449,69722753.74,0.9563323014843391,0.6694326110390374
lactate,DAY1_CAGE9_T120,41896877.15,non-perturbative,9,120,glucose,2.3184000000000005,1449,69722753.74,0.6009068044878975,0.4206347631415282
lactate,DAY1_CAGE10_T120,85334215.96,non-perturbative,10,120,lactate,1.6600500000000005,1449,69722753.74,1.2239077113651593,0.8567353979556115
lactate,DAY1_CAGE11_T120,51710299.62,non-perturbative,11,120,3-hydroxybutyrate,0.3872,1449,69722753.74,0.7416560139438921,0.5191592097607245
lactate,DAY1_CAGE12_T120,63159803.71,non-perturbative,12,120,glucose,1.89,1449,69722753.74,0.9058707569917046,0.6341095298941932
lactate,DAY2_CAGE3_T120,88892858.83999999,perturbative,3,120,3-hydroxybutyrate,12.048,599,69722753.74,1.2749476185562947,0.8924633329894062
lactate,DAY1_CAGE13_T120,90153757.71,non-perturbative,13,120,lactate,1.6340100000000006,1449,69722753.74,1.293032085998616,0.9051224601990311
lactate,DAY1_CAGE14_T120,64974030.44,non-perturbative,14,120,3-hydroxybutyrate,0.4048,1449,69722753.74,0.931891340412224,0.6523239382885567
lactate,DAY2_CAGE1_T120,90271034.96,perturbative,1,120,glucose,29.3058,599,69722753.74,1.294714137319155,0.9062998961234084
lactate,DAY2_CAGE2_T120,177272099.46,perturbative,2,120,lactate,9.396,599,69722753.74,2.542528657445996,1.7797700602121973
lactate,DAY2_CAGE4_T120,81470112.46,perturbative,4,120,glucose,31.2354,599,69722753.74,1.1684867290785237,0.8179407103549665
lactate,DAY2_CAGE10_T120,164631855.46,perturbative,10,120,lactate,9.98325,599,69722753.74,2.361235703252934,1.6528649922770535
lactate,DAY2_CAGE5_T120,162486748.46,perturbative,5,120,lactate,10.92285,599,69722753.74,2.3304694628947398,1.6313286240263178
lactate,DAY2_CAGE6_T120,60511489.71,perturbative,6,120,3-hydroxybutyrate,12.96,599,69722753.74,0.8678872600994891,0.6075210820696424
lactate,DAY2_CAGE9_T120,89337514.46,perturbative,9,120,glucose,33.2856,599,69722753.74,1.281325100743217,0.8969275705202517
lactate,DAY2_CAGE11_T120,80889920.83999999,perturbative,11,120,3-hydroxybutyrate,11.616,599,69722753.74,1.1601653190813859,0.81211572335697
lactate,DAY2_CAGE12_T120,84085667.96,perturbative,12,120,glucose,27.135,599,69722753.74,1.2060003865246072,0.844200270567225
lactate,DAY2_CAGE13_T120,195225589.46,perturbative,13,120,lactate,9.82665,599,69722753.74,2.8000269494232404,1.9600188645962682
